nome;pop;ibge
 Urupês;13081;3556008
 Valentim Gentil;12433;3556107
 Valinhos;121809;3556206
 Valparaíso;23711;3556305
 Vargem;9762;3556354
 Vargem Grande do Sul;41075;3556404
 Vargem Grande Paulista;50797;3556453
 Várzea Paulista;118022;3556503
 Vera Cruz;10564;3556602
 Vinhedo;74858;3556701
 Viradouro;18148;3556800
 Vista Alegre do Alto;7802;3556909
 Vitória Brasil;1756;3556958
 Votorantim;117640;3557006
 Votuporanga;90432;3557105
 Zacarias;2518;3557154
 Chavantes;12201;3557204
 Estiva Gerbi;10877;3557303
